from,to,year,relationship
barzel,apple,2010,7
barzel,daad,2014,14
barzel,euparlament,2012,9
barzel,foundamental,2020,9
barzel,foundamental,2021,9
barzel,fsfm,2009,2
barzel,fsfm,2010,2
barzel,fsfm,2011,2
barzel,fsfm,2012,2
barzel,fsfm,2013,2
barzel,goodthoughts,2021,9
barzel,goodthoughts,2022,9
barzel,lse_london,2014,3
barzel,lse_london,2015,3
barzel,lupus_alpha,2011,7
barzel,promos,2011,14
barzel,thyssenkrupp,2013,9
barzel,thyssenkrupp,2014,9
barzel,thyssenkrupp,2015,9
barzel,thyssenkrupp,2016,9
barzel,thyssenkrupp,2017,9
barzel,thyssenkrupp,2018,9
barzel,thyssenkrupp,2019,9
barzel,thyssenkrupp,2020,9
barzel,uni_boston,2011,4
barzel,uni_boston,2012,4
kaiser,1und1,2013,8
kaiser,1und1,2014,9
kaiser,1und1,2015,9
kaiser,1und1,2016,9
kaiser,dapr,2015,6
kaiser,eon,2019,9
kaiser,eon,2020,9
kaiser,eon,2021,9
kaiser,eon,2022,9
kaiser,gea_group,2016,9
kaiser,gea_group,2017,9
kaiser,gea_group,2018,9
kaiser,gea_group,2019,9
kaiser,neuewestfaelische,2010,10
kaiser,neuewestfaelische,2011,10
kaiser,neuewestfaelische,2012,10
kaiser,neuewestfaelische,2013,10
kaiser,th_koeln,2016,6
kaiser,uni_paderborn,2010,2
kaiser,uni_paderborn,2011,2
kaiser,uni_paderborn,2012,2
kaiser,uni_paderborn,2013,2
kaiser,wirtschaftsministerium_thueringen,2011,7
karl,faktor3,2015,9
karl,faktor3,2016,9
karl,hypr,2021,9
karl,hypr,2022,9
karl,murmann_publishers,2016,9
karl,murmann_publishers,2017,9
karl,murmann_publishers,2018,9
karl,murmann_publishers,2019,9
karl,murmann_publishers,2020,9
karl,schwaebischmedia,2013,10
karl,schwaebischmedia,2014,10
karl,schwaebischmedia,2015,10
karl,uni_hamburg,2012,3
karl,uni_hamburg,2013,3
karl,uni_hamburg,2014,3
karl,uni_tuebingen,2009,2
karl,uni_tuebingen,2010,2
karl,uni_tuebingen,2011,2
karl,uni_tuebingen,2012,2
karl,zeitungsgruppe_lahndill,2013,10
karl,zeitungsgruppe_lahndill,2014,10
karl,zeitungsgruppe_lahndill,2015,10
bisswanger,aiesec,2012,11
bisswanger,aiesec,2013,11
bisswanger,emanate,2013,7
bisswanger,heringschuppener,2016,7
bisswanger,heringschuppener,2018,9
bisswanger,heringschuppener,2019,9
bisswanger,heringschuppener,2020,9
bisswanger,hmkw,2021,15
bisswanger,lprs,2015,11
bisswanger,lprs,2016,11
bisswanger,lprs,2017,11
bisswanger,porsche,2015,7
bisswanger,proctergamble,2020,9
bisswanger,proctergamble,2021,9
bisswanger,proctergamble,2022,9
bisswanger,promos,2016,14
bisswanger,quint,2007,7
bisswanger,quint,2008,7
bisswanger,redbull,2013,7
bisswanger,redbull,2014,7
bisswanger,uni_fudan,2014,4
bisswanger,uni_leeds,2012,4
bisswanger,uni_leeds,2013,4
bisswanger,uni_leipzig,2016,7
bisswanger,uni_leipzig,2017,7
bisswanger,uni_leipzig,2015,3
bisswanger,uni_leipzig,2016,3
bisswanger,uni_leipzig,2017,3
bisswanger,uni_ohio,2016,4
bisswanger,uni_peking,2014,4
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2012,2
bisswanger,uni_salzburg,2013,2
bisswanger,uni_salzburg,2014,2
bisswanger,uni_salzburg,2015,2
bisswanger,uni_salzburg,2015,14
blokhina,astellas,2014,7
blokhina,astellas,2015,7
blokhina,astellas,2016,7
blokhina,msd,2020,9
blokhina,msd,2021,9
blokhina,msd,2022,9
blokhina,serviceplan,2018,9
blokhina,serviceplan,2019,9
blokhina,serviceplan,2020,9
blokhina,uni_muenchen,2011,2
blokhina,uni_muenchen,2012,2
blokhina,uni_muenchen,2013,2
blokhina,uni_muenchen,2014,2
blokhina,uni_muenchen,2015,2
blokhina,we_communications,2016,8
blokhina,we_communications,2017,8
blokhina,we_communications,2017,9
blokhina,we_communications,2018,9
bohnerth,exxonmobil,2008,8
bohnerth,exxonmobil,2009,8
bohnerth,exxonmobil,2010,8
bohnerth,exxonmobil,2011,8
bohnerth,exxonmobil,2012,8
bohnerth,exxonmobil,2013,8
bohnerth,iu_erfurt,2012,3
bohnerth,iu_erfurt,2013,3
bohnerth,iu_erfurt,2014,3
bohnerth,johannsen_kretschmer,2014,7
bohnerth,johannsen_kretschmer,2015,7
bohnerth,lifesize,2019,9
bohnerth,lifesize,2020,9
bohnerth,lifesize,2021,9
bohnerth,lifesize,2022,9
bohnerth,nordakademie,2008,2
bohnerth,nordakademie,2009,2
bohnerth,nordakademie,2010,2
bohnerth,nordakademie,2011,2
bohnerth,nordakademie,2012,2
bohnerth,prasino,2016,10
bohnerth,prasino,2017,10
bohnerth,prasino,2018,10
bohnerth,prasino,2019,10
bohnerth,prasino,2020,10
bohnerth,prasino,2021,10
bohnerth,prasino,2022,10
bohnerth,rocket_internet,2015,9
bohnerth,rocket_internet,2016,9
bohnerth,uni_california,2010,4
bohnerth,uni_uppsala,2013,3
bohnerth,uni_uppsala,2014,3
bohnerth,uni_uppsala,2015,3
bohnerth,wmp_eurocom,2016,10
bohnerth,wmp_eurocom,2017,10
bohnerth,wmp_eurocom,2018,10
bohnerth,wmp_eurocom,2019,10
doepke,edelman,2015,7
doepke,emsland,2016,14
doepke,emsland,2017,14
doepke,hs_osnabrueck,2018,9
doepke,hs_osnabrueck,2019,9
doepke,hs_osnabrueck,2020,9
doepke,hs_osnabrueck,2021,9
doepke,hs_osnabrueck,2022,9
doepke,hs_osnabrueck,2014,2
doepke,hs_osnabrueck,2015,2
doepke,hs_osnabrueck,2016,2
doepke,hs_osnabrueck,2017,2
doepke,kommunikos,2017,13
doepke,kommunikos,2018,13
doepke,kommunikos,2019,13
doepke,kommunikos,2020,13
doepke,kommunikos,2021,13
doepke,kommunikos,2022,13
doepke,landesstipendium_niedersachsen,2015,14
doepke,telekom,2011,1
doepke,telekom,2012,1
doepke,telekom,2013,1
doepke,telekom,2014,1
doepke,volkswagen,2016,7
friese,fom,2013,15
friese,fom,2014,15
friese,fom,2015,15
friese,fom,2016,15
friese,fom,2017,15
friese,fom,2018,15
friese,fom,2019,15
friese,hs_polizei,2014,15
friese,hs_polizei,2015,15
friese,hs_polizei,2016,15
friese,hs_polizei,2017,15
friese,hs_polizei,2018,15
friese,hs_polizei,2019,15
friese,hs_polizei,2020,15
friese,hs_polizei,2021,15
friese,idema,2012,9
friese,idema,2013,9
friese,idema,2014,9
friese,idema,2015,9
friese,mayrpr,2020,9
friese,mayrpr,2021,9
friese,mayrpr,2022,9
friese,potentialpark,2019,9
friese,potentialpark,2020,9
friese,storypark,2022,9
friese,territory,2014,9
friese,territory,2015,9
friese,territory,2016,9
friese,territory,2017,9
friese,territory,2018,9
friese,territory,2019,9
friese,territory,2020,9
friese,territory,2021,9
friese,uni_bochum,2012,3
friese,uni_bochum,2013,3
friese,uni_bochum,2014,3
friese,uni_duesseldorf,2009,2
friese,uni_duesseldorf,2010,2
friese,uni_duesseldorf,2011,2
friese,uni_duesseldorf,2012,2
fuhrmann,aka_agency,2015,9
fuhrmann,aka_agency,2016,9
fuhrmann,bsis,2013,3
fuhrmann,bsis,2014,3
fuhrmann,burson_marsteller,2016,9
fuhrmann,burson_marsteller,2017,9
fuhrmann,deutschebotschaft,2012,7
fuhrmann,deutschebotschaft,2013,7
fuhrmann,fleishmanhillard,2014,9
fuhrmann,google,2017,9
fuhrmann,google,2018,9
fuhrmann,google,2019,9
fuhrmann,google,2020,9
fuhrmann,google,2021,9
fuhrmann,google,2022,9
fuhrmann,ifok,2015,9
fuhrmann,linnaeus,2011,14
fuhrmann,marshall,2014,7
fuhrmann,res_publicaffairs,2015,9
fuhrmann,res_publicaffairs,2016,9
fuhrmann,uni_jordan,2011,4
fuhrmann,uni_jordan,2012,4
fuhrmann,uni_malmoe,2010,2
fuhrmann,uni_malmoe,2011,2
fuhrmann,uni_malmoe,2012,2
fuhrmann,uni_malmoe,2013,2
genius,brainpool,2014,7
genius,continental,2017,9
genius,continental,2018,9
genius,continental,2019,9
genius,continental,2020,9
genius,continental,2021,9
genius,douglas,2021,9
genius,douglas,2022,9
genius,ellerbeck,,17
genius,faktor3,2015,7
genius,hs_hannover,2014,2
genius,hs_hannover,2015,2
genius,hs_hannover,2016,2
genius,hs_hannover,2017,2
genius,hs_hannover,2017,14
genius,koerber,2017,9
genius,ndr,2014,7
genius,prsh,2016,13
genius,prsh,2017,13
genius,tui,2016,7
genius,tui,2017,7
gerlach,balloupr,2015,9
gerlach,balloupr,2016,9
gerlach,balloupr,2017,9
gerlach,brunswick,2013,9
gerlach,brunswick,2014,9
gerlach,brunswick,2015,9
gerlach,brunswick,2016,9
gerlach,brunswick,2017,9
gerlach,brunswick,2018,9
gerlach,brunswick,2019,9
gerlach,brunswick,2020,9
gerlach,brunswick,2021,9
gerlach,capgemini,2010,9
gerlach,creditsuisse,2021,9
gerlach,creditsuisse,2022,9
gerlach,mountholyoke,2009,2
gerlach,mountholyoke,2010,2
gerlach,mountholyoke,2011,2
gerlach,mountholyoke,2012,2
gerlach,thomsonreuters,2011,7
gerlach,uni_standrews,2011,4
heitzler,zdf,2009,7
heitzler,tv_suedbaden,2010,7
heitzler,radio_regenbogen,2010,7
heitzler,ketchum,2013,7
heitzler,ketchum,2014,7
heitzler,kiesewetter_komm,2014,8
heitzler,tandem,2015,9
heitzler,balloupr,2015,9
heitzler,balloupr,2016,9
heitzler,balloupr,2017,9
heitzler,serviceplan,2017,9
heitzler,serviceplan,2018,9
heitzler,serviceplan,2019,9
heitzler,haufe,2019,9
heitzler,haufe,2020,9
heitzler,haufe,2021,9
heitzler,haufe,2022,9
heitzler,uni_freiburg,2010,2
heitzler,uni_freiburg,2011,2
heitzler,uni_freiburg,2012,2
